street id,average vehicles per day,latitude,longitude,traffic size
674,33400,41.955361,-87.669076,High
679,22700,41.970016,-87.787986,High
684,34600,41.976829,-87.689187,High
691,15600,41.992042,-87.714036,Medium
693,17500,41.998732,-87.763298,Medium
698,30100,41.878842,-87.620705,High
702,12600,41.88602,-87.711158,Medium
708,11100,41.892395,-87.64944,Medium
709,7400,41.893693,-87.626772,Low
715,16500,41.897747,-87.631275,Medium
719,18300,41.975916,-87.787866,Medium
726,23900,41.930915,-87.792906,High
727,13000,41.915365,-87.794984,Medium
728,36000,41.908868,-87.804756,High
733,23100,41.893306,-87.628117,High
737,9400,41.89337,-87.634114,Low
743,8200,41.88535,-87.626269,Low
749,7300,41.885696,-87.644242,Low
753,14000,41.716726,-87.604408,Medium
763,24000,41.851171,-87.675811,High
769,18400,41.923889,-87.70229,Medium
770,23700,41.931002,-87.785687,High
774,14700,41.946355,-87.646666,Medium
779,24400,41.982351,-87.693821,High
787,10300,41.895238,-87.716306,Medium
791,4500,41.891012,-87.644365,Low
799,30800,41.836927,-87.695017,High
805,18700,41.90393,-87.629506,Medium
806,18800,41.891671,-87.628113,Medium
810,13000,41.876698,-87.630742,Medium
815,19900,41.677257,-87.680696,Medium
819,11000,41.822852,-87.691118,Medium
820,14800,41.844102,-87.735004,Medium
821,23200,41.851522,-87.726497,High
826,28900,41.968013,-87.748871,High
831,14100,41.838279,-87.628571,Medium
836,20100,41.891676,-87.627665,High
839,37700,41.892388,-87.634088,High
840,11700,41.6853,-87.624481,Medium
844,29400,41.735341,-87.693452,High
847,12400,41.881522,-87.66285,Medium
851,22200,41.929097,-87.775895,High
855,24100,41.937984,-87.811297,High
859,27200,41.944085,-87.766693,High
860,18800,41.982967,-87.768342,Medium
864,25900,41.972925,-87.747914,High
868,43900,41.955399,-87.836687,High
871,16600,41.930851,-87.797915,Medium
872,21600,41.931117,-87.777627,High
876,10400,41.939787,-87.837966,Medium
879,17300,41.975664,-87.78048,Medium
884,23200,41.933229,-87.806554,High
888,26100,42.013794,-87.806611,High
893,28600,41.952742,-87.799221,High
900,31600,41.988587,-87.704352,High
905,16200,41.920893,-87.785358,Medium
908,42800,41.990126,-87.750526,High
914,23600,41.946193,-87.741344,High
917,17200,41.917017,-87.73874,Medium
921,23800,41.939398,-87.696701,High
929,17700,41.931846,-87.722476,Medium
934,30400,41.924726,-87.705876,High
938,14300,41.970273,-87.708529,Medium
941,12200,41.92195,-87.712021,Medium
945,18100,41.931324,-87.711125,Medium
946,22000,41.961009,-87.722889,High
949,38600,41.910066,-87.710829,High
953,19800,41.947109,-87.661464,Medium
960,26700,41.974889,-87.669587,High
961,19200,41.939715,-87.667324,Medium
962,20900,41.939866,-87.657012,High
967,25000,41.974157,-87.659809,High
971,19200,41.938823,-87.678334,Medium
974,16700,41.914612,-87.677552,Medium
979,18700,41.919237,-87.648548,Medium
980,26200,41.95443,-87.658524,High
983,20700,41.968951,-87.66443,High
987,14100,41.960186,-87.68299,Medium
990,16800,41.961538,-87.673156,Medium
994,43100,41.987636,-87.666618,High
995,41200,42.00351,-87.660816,High
1000,33100,41.972841,-87.689047,High
1004,26100,41.868169,-87.774229,High
1007,10700,41.871785,-87.715588,Medium
1011,9500,41.883107,-87.649602,Low
1012,16300,41.881907,-87.724652,Medium
1015,9900,41.881401,-87.633811,Medium
1020,9500,41.857903,-87.659605,Low
1023,31400,41.8702,-87.676347,High
1027,6500,41.872939,-87.755447,Low
1028,10600,41.908631,-87.736272,Medium
1034,20600,41.889649,-87.755407,High
1038,21700,41.865714,-87.759312,High
1042,14300,41.838197,-87.634579,Medium
1046,16800,41.787212,-87.634206,Medium
1050,11700,41.879284,-87.641796,Medium
1054,30500,41.89604,-87.667289,High
1061,7600,41.891097,-87.716199,Low
1068,20700,41.889469,-87.631064,High
1072,25800,41.869119,-87.630476,High
1077,37000,41.87138,-87.620556,High
1081,21500,41.877446,-87.676545,High
1090,23700,41.903168,-87.678437,High
1097,18400,41.890693,-87.684779,Medium
1099,19000,41.892362,-87.647604,Medium
1104,10700,41.892668,-87.71135,Medium
1111,11300,41.878111,-87.634405,Medium
1116,32300,41.890186,-87.632548,High
1120,17400,41.881836,-87.642708,Medium
1121,21600,41.866034,-87.624114,High
1122,22500,41.859365,-87.623968,High
1126,33100,41.873905,-87.624218,High
1127,46500,41.881365,-87.624349,High
1133,32800,41.892439,-87.630272,High
1138,23800,41.875691,-87.725497,High
1140,19600,41.907466,-87.726445,Medium
1142,18500,41.884466,-87.634637,Medium
1147,22100,41.879204,-87.701155,High
1152,20500,41.796139,-87.62574,High
1153,20400,41.784837,-87.625446,High
1158,8800,41.890636,-87.626681,Low
1160,9200,41.88133,-87.626189,Low
1161,14700,41.878077,-87.636914,Medium
1165,4500,41.882362,-87.668041,Low
1170,9100,41.852621,-87.715027,Low
1175,21900,41.851922,-87.646473,High
1179,26200,41.857111,-87.707844,High
1184,26800,41.866958,-87.659,High
1189,25400,41.792767,-87.76029,High
1193,19100,41.779187,-87.688569,Medium
1194,15600,41.764348,-87.70478,Medium
1198,41600,41.792242,-87.78702,High
1199,30600,41.815505,-87.701939,High
1204,56800,41.746457,-87.741218,High
1208,19000,41.891218,-87.645288,Medium
1216,10800,41.778562,-87.781296,Medium
1221,32200,41.827315,-87.684942,High
1225,11300,41.779574,-87.657079,Medium
1226,20300,41.758139,-87.630684,High
1231,39400,41.813049,-87.665083,High
1236,17600,41.836075,-87.646231,Medium
1240,6900,41.828474,-87.65091,Low
1242,23300,41.823185,-87.662505,High
1250,16600,41.838445,-87.615498,Medium
1255,9900,41.766026,-87.58112,Medium
1256,8600,41.751887,-87.554734,Low
1260,25000,41.788454,-87.606097,High
1261,29200,41.774091,-87.57604,High
1265,19600,41.742807,-87.614706,Medium
1275,21900,41.994184,-87.748337,High
1279,9100,41.699831,-87.626661,Low
1286,31800,41.700823,-87.642645,High
1287,23600,41.665826,-87.641508,High
1293,6300,41.69183,-87.531879,Low
1296,15300,41.737064,-87.575072,Medium
1297,13700,41.722709,-87.55587,Medium
1298,36100,41.722445,-87.577141,High
1302,20000,41.723931,-87.614195,High
1303,13000,41.735654,-87.543033,Medium
1308,8200,41.699096,-87.6777,Low
1312,32500,41.736141,-87.642399,High
1321,8000,41.722773,-87.550305,Low
1322,24100,41.761077,-87.629988,High
1328,10400,41.888062,-87.626842,Medium
1332,26900,41.886928,-87.632484,High
1333,12200,41.886932,-87.633964,Medium
1337,17000,41.883192,-87.638103,Medium
1342,10200,41.876771,-87.639623,Medium
1343,4900,41.876342,-87.636323,Low
1347,2800,41.87559,-87.633082,Low
1355,33500,41.876241,-87.624273,High
1361,10600,41.88673,-87.623929,Medium
1365,81100,41.764923,-87.585887,High
1366,47900,41.778752,-87.585085,High
1370,24700,41.767951,-87.576347,High
1375,6800,41.710698,-87.632871,Low
1376,6400,41.994513,-87.663898,Low
